,GM12878_hg38_all_domains,NA19238_all_domains,NA19239_all_domains,NA19240_all_domains
GM12878_hg38_all_domains,1.0,0.7737546431474048,0.7692400219150214,0.779188812967115
NA19238_all_domains,0.7737546431474048,1.0,0.847649147998292,0.820119162284933
NA19239_all_domains,0.7692400219150214,0.847649147998292,1.0,0.8252469254551575
NA19240_all_domains,0.779188812967115,0.820119162284933,0.8252469254551575,1.0
